"Source:","C:\Users\andy\OneDrive\Documents\DJet ECU Tester V2\trunk\DJet ECU Tester\PCB\DJetECUTester\DJetECUTester.sch"
"Date:","26/09/2022 21:35:14"
"Tool:","Eeschema (5.1.12)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","136"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","manf#","manf2#","psu"
"17","1","J4","12V 4A IN (5.5/2.5)","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Wuerth_6941xx301002","~","694108301002","","https://www.amazon.com/COOLM-Transformer-Doorbell-100-240V-5-5x2-5mm/dp/B07D5BX22W"
"18","1","J5","12V IN","Connector:Screw_Terminal_01x02","Britishideas:PhoenixContact_COMBICON_MKDSN_2","~","1729018","",""
"19","1","J6","MPS","Connector:Screw_Terminal_01x04","Britishideas:PhoenixContact_COMBICON_PT_4","~","1935792","",""
"20","2","J7, J8","Conn_01x01","Connector_Generic:Conn_01x01","Britishideas:tabconnector-63849-1","~","63849-1","",""
"21","1","J9","ECU2","Connector:Screw_Terminal_01x10","Britishideas:PhoenixContact_COMBICON_PT_10","~","1935242","",""
"22","1","J10","ECU3","Connector:Screw_Terminal_01x07","Britishideas:PhoenixContact_COMBICON_PT_7","~","1935213","",""
"23","2","JP1, JP3","COOLANTTEMP","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~","","",""
"24","1","JP2","AIRTEMP","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_2x01_P2.54mm_Vertical","~","","",""
"25","1","L1","33uH","Device:L","Britishideas:Wurth-WE-LQS-Inductor","~","74404063330","",""
"26","16","L2, L3, L4, L5, L6, L7, L8, L9, L10, L11, L12, L13, L14, L15, L16, L17","680uH","Device:L","Britishideas:Inductor-MSS1210-684KED","~","MSS1210-684KED","",""
